Material,energy,intensity
W,18.5,3.148227463157895
W,18.75,3.0803030815789474
W,19.0,2.9932689347368413
W,19.25,3.0036826243243246
W,19.5,3.0218338733333336
W,19.75,3.0183265971428574
W,20.0,2.9410401771428574
W,20.25,2.9479151499999996
W,20.5,2.8791240588235296
W,20.75,2.888930015151515
W,21.0,2.8126963515151506
W,21.25,2.736879593939394
W,21.5,2.671504763636363
W,21.75,2.6815141499999995
W,22.0,2.638695671875
W,22.25,2.633126403225806
W,22.5,2.5554349096774196
W,22.75,2.5670470266666667
W,23.0,2.4940586800000006
W,23.25,2.4226752973333334
W,23.5,2.3627505833333333
W,23.75,2.3816174427586203
W,24.0,2.3135987206896553
W,24.25,2.243464905862069
W,24.5,2.1896643224137935
W,24.75,2.2072753103571428
W,25.0,2.1426603421428574
W,25.25,2.080993519285714
W,25.5,2.0196153392857146
W,25.75,2.0310218025925924
W,26.0,1.9762999551851854
W,26.25,1.9148836085185181
W,26.5,1.864927731111111
W,26.75,1.88668766
W,27.0,1.8171599130769234
W,27.25,1.777557385384615
W,27.5,1.717712812307692
W,27.75,1.7390562659999997
W,28.0,1.6841205371999997
W,28.25,1.6337594639999997
W,28.5,1.5848452735999998
W,28.75,1.6019017679166667
W,29.0,1.5529398975
W,29.25,1.5011862920833334
W,29.5,1.4631695758333334
W,29.75,1.473383153478261
W,30.0,1.4323033730434784
W,30.25,1.3816716660869566
W,30.5,1.344184052173913
W,30.75,1.356108767272727
W,31.0,1.3157366350000002
W,31.25,1.2679912595454546
W,31.5,1.2333301868181816
W,31.75,1.2453093719047619
W,32.0,1.2079161442857143
W,32.25,1.1630178914285714
W,32.5,1.1284521033333332
W,32.75,1.1426913815
W,33.0,1.1058435235000001
W,33.25,1.0630976079999999
W,33.5,1.031936063
W,33.75,1.0395979836842109
W,34.0,1.0129981184210526
W,34.25,0.9670927491205265
W,34.5,0.9390647129473684
W,34.75,0.9518497688888891
W,35.0,0.917662595
W,35.25,0.8808789961111112
W,35.5,0.848418518888889
W,35.75,0.8691819476470589
W,36.0,0.8283788652941175
W,36.25,0.800808574117647
W,36.5,0.7665091005882352
W,36.75,0.7856073381249999
W,37.0,0.7481720425
W,37.25,0.7228298181249999
W,37.5,0.6866671343749998
W,37.75,0.7127113726666665
W,38.0,0.6704033086666666
W,38.25,0.6474446146666667
W,38.5,0.6175881126666666
W,38.75,0.6326267935714285
W,39.0,0.5990661507142858
W,39.25,0.5756283885714285
W,39.5,0.5471955007142857
W,39.75,0.5651265015384616
W,40.0,0.5314525169230769
W,40.25,0.5074726561538462
W,40.5,0.48496300923076924
W,40.75,0.4948527866666667
W,41.0,0.4679027616666666
W,41.25,0.44432473333333333
W,41.5,0.4204633041666666
W,41.75,0.4324812227272728
W,42.0,0.4076301663636363
W,42.25,0.37931712909090914
W,42.5,0.36634792272727273
W,42.75,0.36645518
W,43.0,0.349386745
W,43.25,0.321887919
W,43.5,0.310179572
W,43.75,0.3091348711111111
W,44.0,0.2917133966666667
W,44.25,0.2694735288888889
W,44.5,0.24875711
W,44.75,0.26068069125
W,45.0,0.23800608
